title,location,area,price
2 Bedroom Apartment,Sea Point,80 m²,R 5 300 000
3 Bedroom House,Rosebank,657 m²,R 5 850 000
3 Bedroom House,Sea Point,184 m²,R 7 475 000
2 Bedroom Apartment,Fresnaye,132 m²,R 5 800 000
3 Bedroom House,Lakeside,709 m²,R 3 900 000
3 Bedroom House,Bergvliet,1 048 m²,R 3 300 000
3 Bedroom Apartment,Observatory,90 m²,R 2 450 000
1 Bedroom Apartment,De Waterkant,47 m²,R 2 999 000
6 Bedroom House,Rondebosch,1 230 m²,R 8 900 000
3 Bedroom House,Fresnaye,529 m²,R 32 000 000
Commercial Property,Wynberg,342 m²,R 2 600 000
3 Bedroom House,Gardens,108 m²,R 3 695 000
3 Bedroom Townhouse,Green Point,312 m²,R 7 995 000
2 Bedroom Apartment,Kenilworth Upper,60 m²,R 2 575 000
3 Bedroom House,Gardens,108 m²,R 3 695 000
4 Bedroom Apartment,Zonnebloem,249 m²,R 5 500 000
2 Bedroom Apartment,Kenilworth,86 m²,R 1 530 000
3 Bedroom House,Mowbray,223 m²,R 1 900 000
4 Bedroom House,Claremont,396 m²,R 3 795 000
Apartment,Cape Town City Centre,37 m²,R 1 703 850
3 Bedroom House,Tokai,980 m²,R 4 350 000
3 Bedroom Apartment,Rondebosch,123 m²,R 2 995 000
Vacant Land,Fresnaye,800 m²,R 31 500 000
1 Bedroom Apartment,Kalk Bay,72 m²,R 3 500 000
3 Bedroom House,Bantry Bay,495 m²,R 12 950 000
2 Bedroom Apartment,Diep River,55 m²,POA
1 Bedroom Apartment,Green Point,46 m²,R 2 950 000
2 Bedroom Apartment,Sea Point,294 m²,R 11 500 000
2 Bedroom Apartment,Heathfield,86 m²,R 1 050 000
3 Bedroom House,Bantry Bay,495 m²,R 12 950 000
8 Bedroom House,Muizenberg,494 m²,R 5 950 000
3 Bedroom Apartment,Muizenberg,123 m²,R 1 750 000
3 Bedroom Townhouse,Marina Da Gama,293 m²,R 1 590 000
2 Bedroom Apartment,Woodstock,79 m²,R 3 150 000
2 Bedroom Apartment,Sea Point,95 m²,R 3 999 000
7 Bedroom House,Rondebosch,404 m²,R 5 500 000
2 Bedroom Apartment,Cape Town City Centre,92 m²,R 2 750 000
8 Bedroom House,Bo Kaap,190 m²,R 5 500 000
3 Bedroom Apartment,Camps Bay,330 m²,R 26 000 000
2 Bedroom Apartment,Kenilworth Upper,93 m²,R 1 795 000
4 Bedroom House,Stonehurst Mountain Estate,1 347 m²,R 12 999 000
1 Bedroom Apartment,Sea Point,59 m²,R 2 100 000
3 Bedroom House,Claremont Upper,740 m²,R 9 499 000
Vacant Land,Muizenberg,277 m²,R 650 000
2 Bedroom Apartment,Oranjezicht,108 m²,R 4 750 000
0.5 Bedroom Apartment,Cape Town City Centre,37 m²,R 1 550 000
Vacant Land,Lakeside,521 m²,R 1 550 000
4 Bedroom House,Constantia,1 355 m²,R 16 600 000
0.5 Bedroom Apartment,Cape Town City Centre,37 m²,R 2 300 000
3 Bedroom House,Woodstock,150.4 m²,R 2 750 000
4 Bedroom House,Constantia,675 m²,R 11 295 000
4 Bedroom House,Kenilworth Upper,1 101 m²,R 8 795 000
7 Bedroom House,Rondebosch,404 m²,R 5 500 000
3 Bedroom House,Newlands,582 m²,R 7 900 000
3 Bedroom Townhouse,Stonehurst Mountain Estate,358 m²,R 5 395 000
Apartment,Sea Point,44 m²,R 1 680 000
2 Bedroom Townhouse,Higgovale,206 m²,R 8 500 000
3 Bedroom House,Claremont Upper,1 003 m²,R 5 300 000
5 Bedroom House,Ocean View,263 m²,R 1 325 000
2 Bedroom House,Plumstead,496 m²,R 2 450 000
2 Bedroom Apartment,Mouille Point,84 m²,R 4 800 000
2 Bedroom Apartment,Sea Point,139 m²,R 7 900 000
3 Bedroom House,Zeekoevlei,741 m²,R 2 700 000
Industrial Property,Maitland,190 m²,R 1 050 000
3 Bedroom Townhouse,Higgovale,205 m²,R 5 950 000
1 Bedroom Apartment,Cape Town City Centre,43 m²,R 1 895 000
2 Bedroom Apartment,Newlands,98 m²,R 3 495 000
1 Bedroom Apartment,Kenilworth Upper,64 m²,R 1 725 000
3 Bedroom Apartment,Vredehoek,127 m²,R 3 995 000
5 Bedroom House,Diep River,662 m²,R 3 495 000
3 Bedroom House,Claremont Upper,1 003 m²,R 5 300 000
4 Bedroom House,Higgovale,481 m²,R 12 900 000
4 Bedroom House,Higgovale,474 m²,R 13 700 000
2 Bedroom Apartment,Sea Point,61 m²,R 3 295 000
2.5 Bedroom House,Diep River,161 m²,R 1 550 000
2 Bedroom Apartment,Cape Town City Centre,87 m²,R 5 000 000
1 Bedroom Apartment,Woodstock,82 m²,R 2 100 000
4 Bedroom House,Plumstead,544 m²,R 3 150 000
2 Bedroom Apartment,Foreshore,146 m²,R 6 980 000
3 Bedroom House,Costa Da Gama,148 m²,R 1 350 000
4 Bedroom House,Rondebosch,879 m²,R 4 995 000
3 Bedroom House,Fairways,502 m²,R 1 995 000
1 Bedroom Apartment,Green Point,51 m²,R 2 990 000
2 Bedroom Apartment,Cape Town City Centre,64 m²,R 2 599 000
4 Bedroom House,Bakoven,552 m²,R 10 000 000
4 Bedroom House,Oranjezicht,497 m²,R 8 500 000
1 Bedroom Apartment,Green Point,51 m²,R 2 990 000
2 Bedroom House,Kenilworth,147 m²,R 1 740 000
Apartment,Belgravia,81 m²,R 950 000
1 Bedroom Apartment,Woodstock,52 m²,R 1 780 000
3 Bedroom House,Zeekoevlei,497 m²,R 1 695 000
2 Bedroom House,Harfield Village,186 m²,R 2 450 000
Commercial Property,Wynberg,265 m²,POA
4 Bedroom House,Grassy Park,496 m²,R 1 200 000
2 Bedroom Apartment,Fresnaye,173 m²,R 6 750 000
Apartment,Belgravia,81 m²,R 950 000
1 Bedroom Apartment,Vredehoek,62 m²,R 2 100 000
5 Bedroom House,Constantia,6 151 m²,R 30 000 000
3 Bedroom House,Marina Da Gama,231 m²,R 2 395 000
2 Bedroom Apartment,Sea Point,157 m²,R 8 450 000
2 Bedroom Apartment,Pinelands,39 m²,R 1 275 000
Commercial Property,Gardens,250 m²,R 9 200 000
3 Bedroom House,Newlands,685 m²,R 8 600 000
2 Bedroom Apartment,Cape Town City Centre,112 m²,R 3 195 000
1 Bedroom Apartment,Wynberg Upper,64 m²,R 1 095 000
5 Bedroom House,Constantia,874 m²,R 4 395 000
1 Bedroom House,Kenwyn,260 m²,R 1 395 000
3 Bedroom House,Tamboerskloof,188 m²,R 5 900 000
1 Bedroom Apartment,Rondebosch,63 m²,R 1 475 000
3 Bedroom Townhouse,Pinelands,4 843 m²,R 2 625 000
2 Bedroom Apartment,Oranjezicht,79 m²,R 2 495 000
2 Bedroom Apartment,Wynberg Upper,88 m²,R 1 595 000
3 Bedroom House,Heathfield,490 m²,R 2 595 000
3 Bedroom House,Clifton,178 m²,R 23 950 000
3 Bedroom House,Bishopscourt Village,457 m²,R 6 495 000
House,Observatory,193 m²,R 2 550 000
3 Bedroom House,Tokai,1 496 m²,R 4 200 000
2 Bedroom Apartment,Wynberg Upper,88 m²,R 1 595 000
2 Bedroom House,Diep River,230 m²,R 1 675 000
3 Bedroom House,Three Anchor Bay,129 m²,R 5 990 000
3 Bedroom Apartment,Sea Point,150 m²,R 6 995 000
2 Bedroom Apartment,Claremont Upper,73 m²,R 2 950 000
1 Bedroom Apartment,Newlands,41 m²,R 1 550 000
3 Bedroom Apartment,Mouille Point,106 m²,R 6 595 000
4 Bedroom House,Sea Point,273 m²,R 5 690 000
3 Bedroom House,Muizenberg,236 m²,R 2 500 000
2 Bedroom House,Rosebank,66 m²,R 2 650 000
5 Bedroom House,Kenwyn,718 m²,R 3 650 000
3 Bedroom House,Bergvliet,426 m²,R 3 750 000
2 Bedroom Apartment,Thornton,60 m²,R 895 000
4 Bedroom House,Tokai,716 m²,R 4 395 000
2 Bedroom Apartment,Cape Town City Centre,128 m²,R 3 195 000
2 Bedroom House,Woodstock,505 m²,R 3 800 000
3 Bedroom House,Tokai,1 217 m²,R 4 700 000
2 Bedroom Apartment,Muizenberg,90 m²,R 2 500 000
2 Bedroom Townhouse,Diep River,65 m²,R 1 250 000
2 Bedroom Apartment,Gardens,78 m²,R 3 250 000
4 Bedroom House,Kenwyn,718 m²,R 2 995 000
2 Bedroom Apartment,Sea Point,157 m²,R 15 950 000
2 Bedroom Apartment,Sea Point,85 m²,R 2 750 000
3 Bedroom Apartment,Claremont Upper,142 m²,R 2 850 000
3 Bedroom House,Plumstead,303 m²,R 1 795 000
1 Bedroom Apartment,De Waterkant,51 m²,R 1 795 000
3 Bedroom House,Thornton,595 m²,R 1 850 000
2 Bedroom Apartment,Sea Point,157 m²,R 15 950 000
3 Bedroom House,Bergvliet,548 m²,R 3 395 000
3 Bedroom House,Observatory,190 m²,R 2 400 000
2 Bedroom House,Newlands,193 m²,R 5 500 000
Commercial Property,Wynberg,160 m²,R 3 695 000
1 Bedroom Apartment,Claremont Upper,64 m²,R 1 595 000
3 Bedroom House,Pinelands,270 m²,R 2 350 000
1 Bedroom Apartment,De Waterkant,57 m²,R 2 995 000
8 Bedroom House,Sea Point,268 m²,R 8 950 000
0.5 Bedroom Apartment,Sea Point,52 m²,R 2 495 000
2 Bedroom House,Athlone,198 m²,R 1 600 000
Commercial Property,Cape Town City Centre,372 m²,R 4 250 000
1 Bedroom Apartment,Cape Town City Centre,62 m²,R 2 095 000
2 Bedroom Apartment,Rondebosch,51 m²,R 2 050 000
1 Bedroom Apartment,Salt River,54 m²,R 1 295 000
1 Bedroom Apartment,Foreshore,57 m²,R 2 785 000
3 Bedroom House,Kensington,143 m²,R 950 000
6 Bedroom House,Constantia,4 838 m²,R 29 950 000
2 Bedroom Apartment,Muizenberg,62 m²,R 1 150 000
2 Bedroom Apartment,St James,75 m²,R 2 499 500
3 Bedroom Townhouse,Green Point,154 m²,R 8 300 000
1 Bedroom Apartment,Cape Town City Centre,54 m²,R 2 750 000
3 Bedroom House,Harfield Village,259 m²,R 2 895 000
2 Bedroom Apartment,Waterfront,139 m²,R 13 995 000
2 Bedroom Apartment,Sea Point,88 m²,R 4 600 000
3 Bedroom House,Newlands,114 m²,R 2 250 000
3 Bedroom Apartment,Bantry Bay,141 m²,R 4 950 000
3 Bedroom Apartment,Rondebosch,125 m²,R 2 950 000
1 Bedroom Apartment,Zonnebloem,41 m²,R 1 200 000
1 Bedroom Apartment,Zonnebloem,41 m²,R 1 200 000
2 Bedroom House,Harfield Village,164 m²,R 2 200 000
4 Bedroom House,Camps Bay,335 m²,R 27 500 000
3 Bedroom House,Plumstead,466 m²,R 2 450 000
3 Bedroom House,Mowbray,402 m²,R 3 850 000
2 Bedroom Apartment,Woodstock,66 m²,R 1 450 000
5 Bedroom House,Kenilworth Upper,1 309 m²,R 7 000 000
2 Bedroom Apartment,Claremont Upper,72 m²,R 2 150 000
4 Bedroom House,Higgovale,404 m²,R 24 900 000
4 Bedroom House,Claremont Upper,600 m²,R 7 499 000
2 Bedroom House,Bo Kaap,100 m²,R 2 999 000
1 Bedroom Apartment,Cape Town City Centre,57 m²,R 1 995 000
3 Bedroom Townhouse,Lakeside,250 m²,R 1 895 000
4 Bedroom House,Newlands,990 m²,R 6 250 000
3 Bedroom Apartment,Sea Point,186 m²,R 12 995 000
2 Bedroom House,Observatory,147 m²,R 2 350 000
1 Bedroom Apartment,Green Point,61 m²,R 2 950 000
2 Bedroom Apartment,Salt River,40 m²,R 799 000
Vacant Land,Constantia,1 600 m²,R 3 990 000
4 Bedroom House,Silverhurst Estate,1 375 m²,R 32 000 000
1 Bedroom Apartment,Woodstock,74 m²,R 1 745 000
3 Bedroom House,Kenilworth,188 m²,R 2 250 000
2 Bedroom House,Muizenberg,171 m²,R 1 200 000
2 Bedroom Apartment,Waterfront,130 m²,R 13 950 000
2 Bedroom Apartment,Green Point,113 m²,R 4 500 000
2 Bedroom Apartment,Muizenberg,43 m²,R 695 000
3 Bedroom House,Green Point,215 m²,R 6 750 000
Commercial Property,Salt River,620 m²,R 8 500 000
2 Bedroom Apartment,Claremont Upper,93 m²,R 1 895 000
2 Bedroom Apartment,Claremont Upper,93 m²,R 2 650 000
4 Bedroom House,Silverhurst Estate,1 375 m²,R 32 000 000
2 Bedroom Apartment,Vredehoek,85 m²,R 3 800 000
3 Bedroom House,Rondebosch,569 m²,R 4 399 000
3 Bedroom House,Muizenberg,219 m²,R 1 675 000
6 Bedroom House,Rondebosch,373 m²,R 5 000 000
2 Bedroom Apartment,Cape Town City Centre,61 m²,R 2 800 000
4 Bedroom House,Kenilworth Upper,1 298 m²,R 14 900 000
3 Bedroom House,Bishopscourt Village,446 m²,R 6 800 000
1 Bedroom Apartment,Salt River,50 m²,R 1 450 000
4 Bedroom House,Kreupelbosch,913 m²,R 4 950 000
Apartment,Oranjezicht,40 m²,R 1 500 000
5 Bedroom House,Constantia,1 521 m²,R 17 950 000
3 Bedroom House,Sea Point,188 m²,R 7 695 000
2 Bedroom House,Newlands,1 066 m²,R 10 900 000
1 Bedroom Apartment,Mowbray,34 m²,R 950 000
3 Bedroom House,Newlands,283 m²,R 5 450 000
3 Bedroom House,Diep River,491 m²,R 2 795 000
3 Bedroom Townhouse,Claremont Upper,551 m²,R 6 599 500
2 Bedroom Apartment,Rosebank,71 m²,R 1 980 000
2 Bedroom Apartment,Retreat,56 m²,R 649 000
1 Bedroom Apartment,Woodstock,71 m²,R 1 650 000
Apartment,Cape Town City Centre,39 m²,R 2 106 850
3 Bedroom Apartment,Fresnaye,230 m²,R 10 995 000
3 Bedroom Apartment,Fresnaye,230 m²,R 10 995 000
2 Bedroom Apartment,Rondebosch,77 m²,R 2 950 000
1 Bedroom Apartment,Rondebosch,52 m²,R 1 595 000
3 Bedroom House,Maitland,281 m²,R 1 590 000
2 Bedroom Townhouse,Green Point,135 m²,R 5 950 000
3 Bedroom Townhouse,Wynberg,94 m²,R 1 295 000
3 Bedroom Townhouse,Wynberg Upper,155 m²,R 2 950 000
5 Bedroom House,Kirstenhof,720 m²,R 3 695 000
2 Bedroom Apartment,Bantry Bay,79 m²,R 3 995 000
3 Bedroom House,Claremont Upper,991 m²,POA
2 Bedroom Apartment,Kenilworth,60 m²,R 2 575 000
1 Bedroom Apartment,Cape Town City Centre,93 m²,R 2 995 000
2 Bedroom Apartment,Rosebank,79 m²,R 1 850 000
2 Bedroom Apartment,Sea Point,92 m²,R 4 800 000
4 Bedroom House,Rondebosch,433 m²,R 4 475 000
2 Bedroom Apartment,Wynberg,65 m²,R 995 000
1 Bedroom Apartment,De Waterkant,55 m²,R 3 250 000
Commercial Property,De Waterkant,210 m²,R 6 500 000
1 Bedroom Apartment,Woodstock,58 m²,R 1 600 000
1 Bedroom Apartment,Newlands,46 m²,R 1 425 000
3 Bedroom House,Fresnaye,714 m²,R 9 500 000
House,Kenwyn,494 m²,R 2 990 000
Commercial Property,Wynberg,135 m²,R 2 600 000
2 Bedroom House,Muizenberg,237 m²,R 2 000 000
4 Bedroom House,Plumstead,471 m²,R 2 800 000
1 Bedroom Apartment,Cape Town City Centre,52 m²,R 1 195 000
5 Bedroom House,St James,555 m²,R 8 800 000
1 Bedroom Apartment,De Waterkant,45 m²,R 2 500 000
House,Kenwyn,494 m²,R 2 990 000
1 Bedroom Apartment,De Waterkant,45 m²,R 2 500 000
9 Bedroom House,Oranjezicht,668 m²,R 12 995 000
4 Bedroom House,Newlands,664 m²,R 4 600 000
1 Bedroom Apartment,De Waterkant,45 m²,R 2 500 000
1 Bedroom Apartment,Kenilworth,37 m²,R 895 000
3 Bedroom House,Constantia,1 106 m²,R 5 250 000
3 Bedroom Apartment,Three Anchor Bay,141 m²,R 5 750 000
3 Bedroom House,Rondebosch,427 m²,R 3 650 000
0.5 Bedroom Apartment,Maitland,32 m²,R 630 000
5 Bedroom House,Fresnaye,448 m²,R 27 950 000
3 Bedroom House,Costa Da Gama,265 m²,R 1 900 000
1 Bedroom Apartment,Kenilworth Upper,51 m²,R 1 475 000
5 Bedroom House,Woodstock,357 m²,POA
Industrial Property,Woodstock,1 015 m²,R 8 500 000
3 Bedroom House,Lakeside,272 m²,R 2 650 000
4 Bedroom House,Rondebosch,744 m²,R 4 950 000
2 Bedroom Apartment,Woodstock,78 m²,R 1 950 000
2 Bedroom Apartment,Rondebosch,75 m²,R 2 450 000
4 Bedroom House,Claremont,639 m²,R 5 295 000
2 Bedroom Apartment,Gardens,97 m²,R 3 250 000
2 Bedroom Apartment,Vredehoek,73 m²,R 1 995 000
2 Bedroom Apartment,Rondebosch,75 m²,R 2 450 000
4 Bedroom House,Tamboerskloof,311 m²,R 12 950 000
1 Bedroom Apartment,Zonnebloem,41 m²,R 1 250 000
2 Bedroom Apartment,Thornton,54 m²,R 650 000
2 Bedroom Apartment,Muizenberg,46 m²,R 799 000
4 Bedroom House,Constantia,2 665 m²,R 8 990 000
3 Bedroom Apartment,Sea Point,91 m²,R 2 500 000
3 Bedroom House,Claremont,469 m²,R 3 685 000
2 Bedroom House,Belhar,352 m²,R 750 000
4 Bedroom House,Constantia,1 801 m²,R 7 950 000
1 Bedroom Apartment,Cape Town City Centre,58 m²,R 2 720 000
1 Bedroom Apartment,Claremont Upper,42 m²,R 1 100 000
1 Bedroom Apartment,Oranjezicht,20 m²,R 990 000
2 Bedroom Apartment,Sea Point,43 m²,R 1 895 000
1 Bedroom Apartment,Sea Point,84 m²,R 2 850 000
3 Bedroom Apartment,Muizenberg,88 m²,R 1 195 000
3 Bedroom House,Claremont Upper,410 m²,R 6 250 000
Commercial Property,Muizenberg,503 m²,R 5 000 000
3 Bedroom House,Rondebosch,714 m²,R 6 950 000
3 Bedroom Apartment,Clifton,221 m²,R 24 995 000
3 Bedroom Apartment,Three Anchor Bay,172 m²,R 6 500 000
Commercial Property,Muizenberg,503 m²,R 5 000 000
1 Bedroom Apartment,Claremont,39 m²,R 1 050 000
3 Bedroom House,Lakeside,203 m²,R 1 850 000
2 Bedroom House,Woodstock,160 m²,R 2 650 000
2 Bedroom Apartment,Woodstock,65 m²,R 1 560 000
3 Bedroom House,Surrey Estate,489 m²,R 1 650 000
1 Bedroom Apartment,Tokai,43 m²,R 1 195 000
3 Bedroom Townhouse,Marina Da Gama,220 m²,R 2 350 000
3 Bedroom Townhouse,Marina Da Gama,220 m²,R 2 350 000
2 Bedroom Apartment,Sea Point,83 m²,R 5 295 000
3 Bedroom House,Marina Da Gama,629 m²,R 3 450 000
2 Bedroom Apartment,Claremont,74 m²,R 1 850 000
2 Bedroom Apartment,Woodstock,61 m²,R 1 650 000
Apartment,Gardens,25 m²,R 1 350 000
2 Bedroom Apartment,Tokai,79 m²,R 1 950 000
3 Bedroom House,Tokai,1 217 m²,R 4 700 000
1 Bedroom Apartment,Green Point,69 m²,R 2 550 000
2 Bedroom Apartment,Plumstead,90 m²,R 1 450 000
3 Bedroom House,Wetton,279 m²,R 1 799 990
2 Bedroom Apartment,Muizenberg,62 m²,R 1 150 000
4 Bedroom House,Claremont,484 m²,R 4 495 000
4 Bedroom House,Meadowridge,681 m²,R 3 650 000
3 Bedroom House,Gardens,560 m²,R 7 995 000
2 Bedroom House,Observatory,227 m²,R 2 995 000
4 Bedroom House,Claremont,484 m²,R 4 495 000
2 Bedroom Apartment,Rosebank,70 m²,R 1 595 000
4 Bedroom House,Rondebosch,1 037 m²,R 6 800 000
2 Bedroom Apartment,Green Point,61 m²,R 2 850 000
2 Bedroom Apartment,Green Point,97 m²,R 4 250 000
3 Bedroom Apartment,Bantry Bay,482 m²,R 28 000 000
1 Bedroom Apartment,Kenilworth Upper,41 m²,R 1 750 000
1 Bedroom Apartment,Cape Town City Centre,38 m²,R 1 550 000
2 Bedroom Apartment,Rosebank,70 m²,R 1 595 000
3 Bedroom House,Grassy Park,468 m²,R 1 600 000
3 Bedroom House,Gardens,244 m²,R 5 290 000
3 Bedroom House,Constantia,408 m²,R 5 750 000
3 Bedroom House,Plumstead,316 m²,R 3 295 000
2 Bedroom Apartment,Sea Point,77 m²,R 2 995 000
Commercial Property,Gardens,550 m²,R 7 995 000
2 Bedroom House,Pelican Park,240 m²,R 700 000
2 Bedroom Apartment,Pinelands,87 m²,R 1 699 000
4 Bedroom House,Constantia,1 798 m²,R 7 295 000
2 Bedroom Apartment,Diep River,87 m²,R 2 340 000
3 Bedroom House,Zonnebloem,185 m²,R 3 750 000
2 Bedroom Apartment,Cape Town City Centre,171 m²,R 9 975 000
2 Bedroom Apartment,Mouille Point,90 m²,R 2 995 000
4 Bedroom House,Newlands,664 m²,R 4 600 000
2 Bedroom House,Constantia,340 m²,R 5 850 000
Apartment,Gardens,52 m²,R 2 195 000
3 Bedroom House,Tokai,496 m²,R 3 395 000
3 Bedroom House,Bishopscourt Village,457 m²,R 6 800 000
1 Bedroom Apartment,Vredehoek,78 m²,R 3 300 000
0.5 Bedroom Apartment,Claremont Upper,40 m²,R 1 395 000
1.5 Bedroom Apartment,Sea Point,68 m²,R 3 750 000
2 Bedroom Apartment,Waterfront,188 m²,R 20 500 000
2 Bedroom Apartment,Rondebosch,96 m²,R 2 750 000
1 Bedroom Apartment,De Waterkant,55 m²,R 2 699 000
1 Bedroom Apartment,De Waterkant,55 m²,R 2 699 000
1 Bedroom Apartment,Cape Town City Centre,38 m²,R 1 535 000
2 Bedroom House,Zwaanswyk,292 m²,R 9 850 000
3 Bedroom House,Tokai,496 m²,R 3 395 000
2 Bedroom Apartment,Lansdowne,70 m²,R 900 000
1 Bedroom Apartment,Green Point,56 m²,R 1 950 000
3 Bedroom House,Muizenberg,208 m²,R 1 595 000
3 Bedroom House,Observatory,116 m²,POA
4 Bedroom House,Constantia,1 711 m²,R 10 000 000
5 Bedroom House,Constantia,6 151 m²,R 30 000 000
0.5 Bedroom Apartment,Sea Point,39 m²,R 1 400 000
3 Bedroom House,Kenilworth Upper,597 m²,R 6 200 000
1 Bedroom Apartment,Claremont Upper,59 m²,R 1 150 000
4 Bedroom House,Plumstead,496 m²,R 2 995 000
4 Bedroom House,Constantia,1 866 m²,R 6 950 000
2 Bedroom Apartment,Mouille Point,135 m²,R 10 500 000
1 Bedroom Apartment,Sea Point,85 m²,R 2 845 000
2 Bedroom Apartment,Pinelands,51 m²,R 998 000
2 Bedroom Apartment,Mouille Point,135 m²,R 10 500 000
2 Bedroom House,De Waterkant,135 m²,R 15 500 000
1 Bedroom Apartment,Kenilworth,47 m²,R 1 400 000
Industrial Property,Diep River,592 m²,R 4 500 000
1 Bedroom Apartment,De Waterkant,44 m²,R 2 950 000
0.5 Bedroom Apartment,Bantry Bay,35 m²,R 1 100 000
