bedrooms,type,location,area,bathrooms,parking,price
3.0,house,Kenilworth,447.0,2,1,1999999.0
2.0,apartment,Erica Township,55.0,1,1,790000.0
1.0,apartment,Cape Town City Centre,73.0,1,1,1995000.0
3.0,house,Claremont,165.0,2,2,2495000.0
2.0,apartment,Rondebosch Village,70.0,2,1,2300000.0
2.0,apartment,Belhar,55.0,1,1,790000.0
2.0,apartment,Sea Point,97.0,1,1,2990000.0
3.0,house,Muizenberg,144.0,1,2,1690000.0
3.0,house,Diep River,116.0,2.5,1,1750000.0
3.0,house,Pinelands,1.0,1,1,2950000.0
1.0,apartment,Vredehoek,43.0,1,1,1995000.0
1.0,apartment,De Waterkant,65.0,1,1,2430000.0
3.0,house,Plumstead,440.0,2,1,2695000.0
5.0,house,Constantia,2.0,4.5,5,9950000.0
4.0,house,Plumstead,490.0,2,1,2850000.0
1.0,apartment,Bergvliet,42.0,1,1,1150000.0
2.0,apartment,Sea Point,91.0,2,1,3450000.0
2.0,house,Newlands,280.0,1,2,4500000.0
3.0,house,Lakeside,125.0,2.5,1,2200000.0
2.0,apartment,Kenilworth,54.0,1,1,950000.0
3.0,house,Marina Da Gama,299.0,3,3,3450000.0
1.0,apartment,Cape Town City Centre,46.0,1,1,2150000.0
3.0,house,Pinelands,818.0,2,3,2800000.0
3.0,house,De Waterkant,110.0,3.5,2,18170000.0
1.0,apartment,Sea Point,75.0,1,1,3150000.0
2.0,apartment,Plumstead,68.0,1,1,1295000.0
2.0,apartment,Rondebosch,75.0,1,1,1695000.0
2.0,apartment,Gardens,151.0,1.5,1,4750000.0
4.0,house,Maitland,357.0,1,1,1730000.0
2.0,apartment,Wynberg Upper,77.0,1,1,1595000.0
1.0,apartment,Oranjezicht,67.0,1,1,2250000.0
3.0,house,Constantia,1.0,2,2,5500000.0
3.0,house,Claremont,362.0,2,2,3995000.0
3.0,house,Marina Da Gama,230.0,1,5,1495000.0
5.0,house,Kenilworth Upper,1.0,2.5,4,7000000.0
2.0,apartment,Ottery,59.0,1,2,1200000.0
2.0,apartment,Sea Point,83.0,1,1,5200000.0
2.0,apartment,Green Point,82.0,2,2,3800000.0
1.0,apartment,Cape Town City Centre,61.0,1,1,1795000.0
5.0,house,Kenilworth Upper,1.0,2.5,4,7000000.0
0.0,apartment,Claremont Upper,40.0,1,1,1295000.0
2.0,apartment,Kalk Bay,211.0,2,2,12500000.0
3.0,house,Gardens,213.0,3,2,5295000.0
3.0,house,Lakeside,95.0,2,1,2295000.0
2.0,apartment,Muizenberg,62.0,1,1,1150000.0
0.0,apartment,Cape Town City Centre,37.0,1,1,1395000.0
