2 Bedroom Apartment,Fresnaye,131 m²,R 6 200 000
2 Bedroom Apartment,Plumstead,68 m²,R 1 295 000
Vacant Land,Guguletu,457 m²,POA
2 Bedroom Apartment,Rondebosch,75 m²,R 1 695 000
Apartment,Cape Town City Centre,54 m²,R 1 995 000
2 Bedroom Apartment,Wynberg Upper,77 m²,R 1 595 000
2 Bedroom Apartment,Waterfront,120 m²,R 12 900 000
2 Bedroom Apartment,Plumstead,68 m²,R 1 295 000
Industrial Property,Airport Industria,350 m²,R 2 100 000
Commercial Property,Cape Town City Centre,303 m²,R 9 200 000
2 Bedroom Apartment,Gardens,79 m²,R 2 550 000
1 Bedroom Apartment,Green Point,56 m²,R 2 950 000
3 Bedroom House,Constantia,1 270 m²,R 5 900 000
2 Bedroom Apartment,Plumstead,65 m²,R 1 050 000
1 Bedroom Apartment,Sea Point,75 m²,R 3 150 000
2 Bedroom Apartment,Green Point,82 m²,R 3 800 000
2 Bedroom Apartment,Kenilworth,67 m²,R 1 850 000
1 Bedroom Apartment,Heathfield,42 m²,R 1 200 000
2 Bedroom Apartment,Kalk Bay,211 m²,R 12 500 000
2 Bedroom Apartment,Gardens,151 m²,R 4 750 000
3 Bedroom House,Claremont,165 m²,R 2 495 000
3 Bedroom House,Gardens,213 m²,R 5 295 000
3 Bedroom House,Marina Da Gama,230 m²,R 1 495 000
2 Bedroom Apartment,Kalk Bay,211 m²,R 12 500 000
2 Bedroom Apartment,Muizenberg,62 m²,R 1 150 000
3 Bedroom House,Claremont,362 m²,R 3 995 000
3 Bedroom Townhouse,Muizenberg,144 m²,R 1 690 000
2 Bedroom Apartment,Sea Point,83 m²,R 5 200 000
1 Bedroom Apartment,Rondebosch,75 m²,R 1 449 000
1.5 Bedroom Apartment,Oranjezicht,66 m²,R 2 300 000
1 Bedroom Apartment,Cape Town City Centre,61 m²,R 1 795 000
0.5 Bedroom Apartment,Claremont Upper,40 m²,R 1 295 000
Industrial Property,Cape Town City Centre,418 m²,R 4 000 000
3 Bedroom House,Marina Da Gama,299 m²,R 3 450 000
Apartment,Cape Town City Centre,35 m²,R 1 808 900
3 Bedroom House,Lakeside,624 m²,R 3 250 000
3 Bedroom House,Plumstead,440 m²,R 2 695 000
1 Bedroom Apartment,Gardens,46 m²,R 1 850 000
2 Bedroom Apartment,Claremont Upper,60 m²,R 2 300 000
2 Bedroom Apartment,Claremont Upper,60 m²,R 2 050 000
3 Bedroom House,Gardens,137 m²,R 5 200 000
3 Bedroom House,Lakeside,624 m²,R 3 250 000
3 Bedroom Townhouse,Rondebosch Village,87 m²,R 2 225 000
1 Bedroom Apartment,Cape Town City Centre,44 m²,R 1 695 000
3 Bedroom House,Newlands,230 m²,R 5 945 000
0.5 Bedroom Apartment,Cape Town City Centre,37 m²,R 1 550 000
4 Bedroom House,Maitland,357 m²,R 1 730 000
2 Bedroom Apartment,Maitland,55 m²,R 650 000
2 Bedroom Apartment,Gardens,80 m²,R 2 295 000
3 Bedroom House,Heathfield,136 m²,R 1 395 000
1 Bedroom Apartment,Woodstock,70 m²,R 1 950 000
3 Bedroom House,Heathfield,136 m²,R 1 395 000
2 Bedroom Apartment,Sea Point,137 m²,R 3 950 000
2 Bedroom Apartment,Muizenberg,45 m²,R 900 000
1 Bedroom Apartment,Cape Town City Centre,83 m²,R 3 095 000
0.5 Bedroom Apartment,Cape Town City Centre,37 m²,R 1 550 000
1 Bedroom Apartment,Zonnebloem,43 m²,R 1 250 000
12 Bedroom Apartment,Oranjezicht,600 m²,POA
1 Bedroom Apartment,Sea Point,82 m²,R 3 995 000
1 Bedroom Apartment,Kenilworth,59 m²,R 1 295 000
3 Bedroom Townhouse,Bergvliet,120 m²,R 3 250 000
3 Bedroom Townhouse,Vredehoek,178 m²,R 4 195 000
2 Bedroom Apartment,Kenilworth,77 m²,R 1 595 000
3 Bedroom House,Claremont,714 m²,R 5 350 000
1 Bedroom Apartment,Claremont Upper,53 m²,R 1 250 000
3 Bedroom Apartment,Kenilworth Upper,128 m²,R 2 495 000
2 Bedroom Apartment,Green Point,118 m²,R 5 950 000
2 Bedroom House,Woodstock,94 m²,R 1 500 000
3 Bedroom House,Marina Da Gama,640 m²,R 2 950 000
Apartment,Tamboerskloof,44 m²,R 1 595 000
2 Bedroom Apartment,Gardens,100 m²,R 3 750 000
Apartment,Oranjezicht,40 m²,R 1 700 000
3 Bedroom House,Meadowridge,744 m²,R 3 295 000
Commercial Property,Cape Town City Centre,50 m²,R 1 950 000
3 Bedroom Townhouse,Kensington,100 m²,R 945 000
2 Bedroom Townhouse,Plumstead,78 m²,R 1 300 000
2 Bedroom Apartment,Kenilworth Upper,93 m²,R 1 750 000
2 Bedroom Apartment,Gardens,158 m²,R 5 250 000
2 Bedroom Apartment,Pinelands,102 m²,R 1 795 000
1 Bedroom Apartment,Sea Point,49 m²,R 2 450 000
1 Bedroom Apartment,Sea Point,65 m²,R 3 500 000
Apartment,Oranjezicht,40 m²,R 1 700 000
5 Bedroom House,Tokai,743 m²,R 4 995 000
3 Bedroom House,Woodstock,143 m²,R 3 600 000
1 Bedroom Apartment,Observatory,58 m²,R 1 475 000
2 Bedroom Apartment,Sea Point,93 m²,R 5 500 000
3 Bedroom House,Claremont,304 m²,R 5 295 000
4 Bedroom House,Oranjezicht,595 m²,R 23 500 000
2 Bedroom Apartment,Rosebank,74 m²,R 1 300 000
3 Bedroom House,Marina Da Gama,595 m²,R 2 650 000
Industrial Property,Capricorn,358 m²,R 2 940 000
1 Bedroom Apartment,Sea Point,117 m²,R 5 500 000
1 Bedroom Apartment,Cape Town City Centre,48 m²,R 2 295 000
Commercial Property,Cape Town City Centre,95 m²,R 2 800 000
3 Bedroom Apartment,Green Point,364 m²,R 14 995 000
1 Bedroom Apartment,Southfield,71 m²,R 850 000
3 Bedroom House,Harfield Village,470 m²,R 3 450 000
3 Bedroom Townhouse,Constantia,216 m²,R 3 995 000
Industrial Property,Epping Industrial,12 806 m²,R 58 000 000
4 Bedroom House,Constantia,1 300 m²,R 6 700 000
0.5 Bedroom Apartment,Cape Town City Centre,43 m²,R 1 399 000
2 Bedroom Apartment,Green Point,78 m²,R 2 675 000
0.5 Bedroom Apartment,Cape Town City Centre,43 m²,R 1 399 000
3 Bedroom House,Rondebosch,350 m²,R 4 485 000
Vacant Land,Constantia,4 081 m²,R 12 000 000
Apartment,Cape Town City Centre,40 m²,R 1 753 850
5 Bedroom House,Constantia,1 902 m²,R 16 000 000
Commercial Property,Woodstock,1 260 m²,R 7 500 000
Apartment,Wynberg Upper,68 m²,R 1 095 000
1 Bedroom Apartment,Oranjezicht,40 m²,R 2 200 000
Farm,Philadelphia,77 214 ha,R 3 950 000
2 Bedroom Apartment,Claremont Upper,130 m²,R 4 488 000
3 Bedroom Townhouse,Claremont,132 m²,R 1 890 000
3 Bedroom House,Rondebosch,427 m²,R 3 650 000
2 Bedroom Apartment,Claremont Upper,75 m²,R 2 800 000
2 Bedroom House,Observatory,196 m²,R 1 650 000
1 Bedroom Apartment,Claremont Upper,59 m²,R 1 550 000
Vacant Land,Bantry Bay,270 m²,R 6 500 000
2 Bedroom Apartment,Vredehoek,83 m²,R 2 795 000
3 Bedroom House,Harfield Village,470 m²,R 3 450 000
5 Bedroom House,Constantia,1 902 m²,R 16 000 000
2 Bedroom Apartment,Rondebosch,105 m²,R 2 595 000
1 Bedroom Apartment,Woodstock,68 m²,R 1 400 000
Apartment,Cape Town City Centre,40 m²,R 1 653 850
6 Bedroom House,Tamboerskloof,408 m²,R 9 500 000
2 Bedroom Apartment,Three Anchor Bay,77 m²,R 2 750 000
2 Bedroom Apartment,Plumstead,86 m²,R 1 375 000
3 Bedroom House,Claremont,404 m²,R 4 850 000
1 Bedroom Apartment,Rondebosch,91 m²,R 1 745 000
2 Bedroom Apartment,Elfindale,103 m²,R 1 295 000
2 Bedroom Apartment,Gardens,58 m²,R 1 750 000
3 Bedroom House,Muizenberg,206 m²,R 2 300 000
2 Bedroom Apartment,Elfindale,103 m²,R 1 295 000
2 Bedroom House,Newlands,192 m²,R 5 500 000
4 Bedroom House,Kalk Bay,392 m²,R 7 300 000
2 Bedroom Apartment,Thornton,54 m²,R 695 000
3 Bedroom House,Muizenberg,177 m²,R 2 100 000
1 Bedroom Apartment,Claremont Upper,62 m²,R 1 895 000
2 Bedroom Apartment,Gardens,74 m²,R 2 750 000
3 Bedroom Apartment,Waterfront,174 m²,R 14 944 250
3 Bedroom Townhouse,Wynberg Upper,123 m²,R 2 100 000
3 Bedroom Apartment,Sea Point,198 m²,R 8 950 000
3 Bedroom House,Grassy Park,621 m²,R 1 595 000
3 Bedroom House,Rondebosch,199 m²,R 7 500 000
4 Bedroom House,Green Point,545 m²,R 23 000 000
2 Bedroom Apartment,Gardens,81 m²,R 3 275 000
5 Bedroom House,Tokai,1 188 m²,R 5 690 000
2 Bedroom Apartment,Claremont,95 m²,R 2 530 000
2 Bedroom Apartment,Clifton,135 m²,R 14 990 000
1 Bedroom Apartment,Cape Town City Centre,68 m²,R 2 395 000
0.5 Bedroom Apartment,Cape Town City Centre,41 m²,R 1 795 000
3 Bedroom House,Ottery,578 m²,R 2 590 000
2 Bedroom Apartment,Zonnebloem,65 m²,R 1 695 000
3 Bedroom House,Grassy Park,93 m²,R 1 600 000
3 Bedroom House,Grassy Park,93 m²,R 1 600 000
2 Bedroom Apartment,Kenilworth,71 m²,R 1 650 000
2 Bedroom House,Woodstock,163 m²,R 2 895 000
Vacant Land,Bantry Bay,712 m²,POA
Commercial Property,Wynberg,105 m²,R 2 495 000
3 Bedroom House,Claremont,732 m²,R 5 450 000
1 Bedroom House,Walmer Estate,135 m²,R 2 750 000
3 Bedroom Apartment,Plumstead,169 m²,R 3 945 000
3 Bedroom Apartment,Sea Point,98 m²,R 3 600 000
Vacant Land,Green Point,260 m²,R 4 995 000
3 Bedroom House,Retreat,479 m²,POA
4 Bedroom House,Stonehurst Mountain Estate,1 009 m²,R 10 200 000
Vacant Land,Clifton,455 m²,R 12 000 000
2 Bedroom Apartment,Sea Point,230 m²,R 5 950 000
4 Bedroom House,Rondebosch,951 m²,POA
Industrial Property,Maitland,1 000 m²,R 8 000 000
3 Bedroom House,Camps Bay,1 382 m²,R 12 500 000
4 Bedroom House,Harfield Village,500 m²,R 2 450 000
2 Bedroom Townhouse,Lakeside,76 m²,R 1 995 000
2 Bedroom Apartment,Mouille Point,87 m²,R 5 300 000
2 Bedroom Apartment,Tamboerskloof,65 m²,R 2 795 000
3 Bedroom House,Lakeside,628 m²,R 2 795 000
2 Bedroom Apartment,Plumstead,74 m²,R 1 795 000
3 Bedroom Apartment,Sea Point,174 m²,R 7 750 000
2 Bedroom Apartment,Mouille Point,87 m²,R 5 300 000
2 Bedroom Apartment,Sea Point,88 m²,R 3 590 000
1 Bedroom Apartment,Woodstock,102 m²,R 2 950 000
Apartment,Cape Town City Centre,37 m²,R 1 895 000
1 Bedroom Apartment,Mouille Point,49 m²,R 2 950 000
Industrial Property,Airport Industria,2 100 m²,R 11 500 000
5 Bedroom House,Constantia,6 151 m²,R 30 000 000
Apartment,Observatory,32 m²,R 1 500 000
1 Bedroom Apartment,Mowbray,66 m²,R 1 195 000
2 Bedroom Apartment,Fresnaye,277 m²,R 20 000 000
2 Bedroom Apartment,Kenilworth,88 m²,R 1 625 000
4 Bedroom House,Yorkshire Estate,655 m²,R 2 395 000
1 Bedroom Apartment,Plumstead,30 m²,R 899 000
3 Bedroom House,Rondebosch,495 m²,R 5 950 000
5 Bedroom House,Stonehurst Mountain Estate,1 130 m²,R 17 995 000
3 Bedroom House,Vredehoek,393 m²,R 5 950 000
4 Bedroom House,Camps Bay,443 m²,R 30 000 000
Apartment,Cape Town City Centre,33 m²,R 1 713 950
Apartment,Green Point,42 m²,R 1 495 000
2 Bedroom House,Bo Kaap,94 m²,R 2 990 000
Commercial Property,Cape Town City Centre,162 m²,POA
5 Bedroom House,Rondebosch,978 m²,R 9 850 000
3 Bedroom Apartment,Sea Point,228 m²,R 16 175 000
2 Bedroom Apartment,Cape Town City Centre,62 m²,R 1 650 000
Vacant Land,Constantia,1 222 m²,R 4 995 000
3 Bedroom Townhouse,Fresnaye,315 m²,R 18 000 000
5 Bedroom House,Constantia,1 350 m²,R 7 990 000
5 Bedroom House,Pinelands,694 m²,R 4 250 000
4 Bedroom House,Kreupelbosch,913 m²,R 4 995 000
4 Bedroom House,Kenwyn,595 m²,R 2 195 000
Industrial Property,Airport Industria,149 m²,R 1 575 000
2 Bedroom House,Rondebosch,140 m²,R 2 400 000
4 Bedroom House,Claremont Upper,472 m²,R 7 480 000
2 Bedroom Apartment,Fresnaye,98 m²,R 3 600 000
4 Bedroom House,Claremont Upper,600 m²,R 7 499 000
3 Bedroom House,Observatory,324 m²,R 3 450 000
1 Bedroom Apartment,Oranjezicht,30 m²,R 1 590 000
3 Bedroom Apartment,Sea Point,188 m²,R 15 700 000
3 Bedroom House,Vredehoek,265 m²,R 4 995 000
0.5 Bedroom Apartment,Cape Town City Centre,33 m²,R 1 375 000
3 Bedroom House,Plumstead,413 m²,R 2 350 000
3 Bedroom House,Retreat,496 m²,R 1 750 000
3 Bedroom House,Claremont Upper,496 m²,R 4 999 000
Commercial Property,Maitland,3 100 m²,R 18 500 000
1 Bedroom Apartment,Cape Town City Centre,48 m²,R 2 225 000
4 Bedroom House,Newlands,949 m²,R 12 900 000
3 Bedroom Apartment,Sea Point,174 m²,R 7 750 000
5 Bedroom House,Rondebosch,601 m²,R 6 850 000
2 Bedroom Apartment,Vredehoek,121 m²,R 3 595 000
3 Bedroom House,Muizenberg,255 m²,R 1 395 000
3 Bedroom House,Rondebosch,241 m²,R 3 350 000
Industrial Property,Airport Industria,149 m²,R 1 575 000
2 Bedroom Apartment,Sea Point,157 m²,R 8 450 000
2 Bedroom Apartment,Green Point,93 m²,R 2 950 000
Industrial Property,Airport Industria,149 m²,R 1 575 000
3 Bedroom House,Claremont,335 m²,R 2 950 000
3 Bedroom House,Rondebosch,206 m²,R 3 350 000
2 Bedroom Apartment,Green Point,126 m²,R 4 700 000
3 Bedroom House,Observatory,224 m²,R 2 000 000
Commercial Property,Woodstock,180 m²,R 3 500 000
3 Bedroom Townhouse,Fresnaye,301 m²,R 16 950 000
2 Bedroom Apartment,Cape Town City Centre,154 m²,R 5 450 000
Industrial Property,Woodstock,210 m²,R 3 050 000
4 Bedroom House,Tokai,1 362 m²,R 4 850 000
5 Bedroom House,Camps Bay,1 003 m²,R 11 995 000
4 Bedroom House,Vredehoek,347 m²,R 6 500 000
3 Bedroom House,Rondebosch,241 m²,R 3 350 000
